 ST,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000000004558,000000000664,000000005939,000000002779,000000036132,000000004665,000000003510,000000000844,000000017790,000000009073,000000001275,000000001429,000000012763,000000006272,000000002966,000000002745,000000004173,000000004524,000000001322,000000005600,000000006399,000000010121,000000005133,000000002921,000000005800,000000000936,000000001759,000000002415,000000001310,000000008718,000000001928,000000019255,000000008683,000000000637,000000011464,000000003548,000000003641,000000012430,000000001076,000000004255,000000000776,000000005963,000000022860,000000002470,000000000623,000000007567,000000006288,000000001817,000000005536,000000000509
T01,000000221470,000000047368,000000346427,000000520324,000002079326,000000000000,000000000000,000000000000,000000276786,000000065118,000000000000,000000000000,000000057084,000000008923,000000000000,000000057554,000000455460,000000039739,000000045308,000000478796,000000000051,000002803017,000000607863,000000040241,000000022763,000000183937,000000002336,000000132468,000000493589,000000003660,000000053074,000000000000,000000000000,000000001478,000000040636,000000000000,000000015865,000000068389,000000001532,000000011597,000000000000,000000000000,000000000000,000000000000,000000448203,000000020778,000001526617,000000003370,000000104158,000000139809
T09,000001892560,000000000000,000004719642,000002149527,000026506911,000001909246,000003127221,000000000000,000017128515,000004921337,000001900377,000001036924,000006922587,000004759445,000001617505,000001932927,000002466033,000002680716,000000917248,000002707140,000003743204,000007894458,000004066790,000002482908,000002950055,000000000000,000001524591,000002242532,000000000000,000006261700,000001443300,000010050291,000004351822,000000367304,000007881510,000001594246,000000000000,000007773133,000000804647,000002726657,000000586389,000005845206,000015460221,000001560902,000000256958,000002977401,000008423160,000001021365,000003899395,000000462842
T10,000000137222,000000032746,000000055954,000000041240,000000312826,000000031317,000000044026,000000013385,000000591682,000000149801,000000041250,000000006609,000000147883,000000038509,000000012709,000000087637,000000079104,000000053422,000000012628,000000026863,000000068522,000000149424,000000069497,000000039793,000000028026,000000020570,000000023159,000000033867,000000012239,000000087357,000000037503,000000191128,000000212224,000000005910,000000088267,000000068420,000000013306,000000221410,000000010607,000000146658,000000012435,000000092062,000000601841,000000028700,000000016893,000000146019,000000192618,000000008624,000000048071,000000001332
T11,000000000097,000000002413,000000000625,000000000000,000000000000,000000099145,000000435061,000000000000,000000000000,000000000000,000000000000,000000000000,000000785922,000000765707,000000213522,000000000651,000000000232,000000524119,000000000000,000000010432,000000005255,000000099455,000000055784,000000167327,000000307062,000000050496,000000006136,000000861511,000000001777,000000468072,000000038543,000000000570,000000011503,000000010079,000000000000,000000005356,000000000084,000000000566,000000000000,000000039627,000000000026,000000000000,000000023086,000000000000,000000000000,000000000050,000000000060,000000000000,000000000362,000000000000
T12,000000245577,000000049873,000000343903,000000091330,000002114980,000000177782,000000218202,000000068009,000000711145,000000317463,000000081916,000000082283,000000378517,000000178303,000000138229,000000121827,000000331903,000000342353,000000077770,000000260046,000000399764,000000230272,000000265970,000000161201,000000304848,000000061063,000000038460,000000194228,000000079450,000000417873,000000087448,000000833073,000000432975,000000030928,000000423078,000000144186,000000052167,000000639578,000000043350,000000106643,000000055339,000000351111,000001130499,000000106776,000000049018,000000351278,000000345614,000000102181,000000138388,000000018034
T13,000000535493,000000040660,000000671765,000000453148,000003324883,000000597558,000000456805,000000112435,000002021677,000000755994,000000084378,000000218019,000001403937,000000802168,000000429311,000000428985,000000476605,000000560769,000000220410,000000746044,000000684242,000001081259,000000648428,000000464748,000000726705,000000197605,000000302899,000000293595,000000129913,000000546952,000000210863,000000518557,000001272612,000000118744,000001541151,000000415318,000000404547,000001785201,000000133415,000000489322,000000126017,000000832168,000002918842,000000341885,000000085994,000000909468,000000925723,000000309274,000000935953,000000069975
T14,000000003226,000000000000,000000000566,000000004574,000000042143,000000004504,000000010660,000000000188,000000026747,000000000000,000000000000,000000000000,000000012042,000000004762,000000003241,000000003531,000000015466,000000020420,000000004509,000000003028,000000005697,000000011825,000000001489,000000000000,000000000000,000000000097,000000000296,000000000000,000000004115,000000000000,000000001188,000000036067,000000000000,000000002585,000000015918,000000002822,000000002893,000000026617,000000004651,000000000000,000000000880,000000000000,000000011793,000000000000,000000000000,000000000000,000000001770,000000009537,000000001804,000000000227
T15,000000600558,000000003962,000000034617,000000000000,000000520589,000000009339,000000195646,000000035536,000001712380,000000000000,000000099504,000000001827,000001704655,000000010573,000000000000,000000000740,000000000000,000000007467,000000013742,000000137373,000000000000,000000028561,000000000050,000000012067,000000000000,000000028169,000000003107,000000009651,000000065581,000000942744,000000018141,000000821911,000000319730,000000034098,000000275811,000000021172,000000010537,000001016640,000000088640,000000045071,000000001949,000000004761,000000793107,000000013845,000000010769,000000128815,000000353136,000000188412,000000286063,000000003016
T16,000000093270,000000043222,000000274716,000000146485,000001081588,000000065144,000000277333,000000075479,000000449360,000000227348,000000079387,000000052271,000000760226,000000338716,000000094282,000000124586,000000020627,000000101040,000000092626,000000272066,000000425421,000000992793,000000190116,000000055587,000000109653,000000045209,000000071220,000000129055,000000100014,000000777512,000000052718,000001009595,000000043733,000000021167,000000557569,000000063398,000000265348,000000981254,000000115503,000000029742,000000027644,000000119482,000000534577,000000061663,000000051183,000000016199,000000352527,000000107609,000000307425,000000018578
